Cable Assemblies,Control Systems, Connectors,Wireless,Electromechanical, Sensors,Drone,Electronic Components,Raspberry Pi,Development Boards,Device,Networking,Actuator,Environmental Monitoring,Protocols,Storage Components,HAT
Pressure Sensor Cables,Programmable Logic Controllers (PLCs),Mini-USB connectors,BLE Modules,,W1209 Digital Temperature Controller Thermostat Module,Environmental Monitoring Drones,LED Displays,Raspberry Pi GPIO Extension Board,M5Stack Core2,Philips Hue Bulbs,Siemens IoT Gateways,RGB LED ,,Modbus,Thermal-Resistant SSDs,
Humidity Sensor Cables,Distributed Control Systems (DCS),Type-C connectors,Xbee Series 1,,DHT11 Temperature Sensor Module,,Cooling Fans,Raspberry Pi USB Hub,M5Stack Basic,Lighting System,Dell Edge Gateway,single-color LED,,OPC UA (Open Platform Communications Unified Architecture),Battery-Backed Storage,
CAN Bus Cables,Supervisory Control and Data Acquisition (SCADA) Systems,Lightning connectors,Xbee Series 2,,10K Thermistor Temperature Sensor Module,,Li-ion,Raspberry Pi MicroSD Card,M5StickC,Bitdefender Box,Wi-Fi Range Extenders,LED strip,,WebSocket,Non-Volatile Storage,
OBD-II Cables,Building Management Systems (BMS),GPIO,Digi Xbee Zigbee,,XH-W1219 12V Digital Temperature Controller,,Lead-Acid,,Pine64,Ring Doorbell,Powerline Network Adapters,Electromagnet relay,,LoRaWan,Custom PCB Storage,
Custom Ethernet Assemblies,Industrial Control Systems (ICS),Waterproof connectors,SX1278,,DS18B20 Waterproof Digital Thermometer Sensor Probe,Drone-mounted Cameras,NiMH,,Odroid-C4,WeMo smart plug,Mesh Network Extenders,solid-state relay,,NB-IoT Protocols,Modular Storage,
Custom Fiber Assemblies,Embedded Control Systems,Dustproof connectors,RFM95W,,DHT22 Humidity and Temperature Sensor Module (AM2302),Drone-based Crop Monitoring,LiPo,,Odroid-N2,Smart washing machines,Wireless Repeater Extenders,Heating element,,BACnet,Gateway Storage Module,
Custom Cable Assemblies,Centralized Control Systems,High-temperature connectors,HopeRF RFM69,,DC 3-5V MAX6675 Module + K Type Thermocouple Temperature Sensor ,,Integrated Circuits (ICs),,Udoo Bolt,Vacuum cleaners,Ethernet Over Coax Adapters,PTC heater,,6LoWPAN,Edge Gateway Storage,
Custom Power Assemblies,Decentralized Control Systems,Low-temperature connectors,PN532,,XK-W2001 Adjustable Temperature Controller Socket,,capacitor,,Udoo Neo,Smart toothbrush,PCI Network Adapters,Peltier cooler,,OPC UA,Data Loggers,
M12 Connector Cables,Motion Control Systems,Heavy-duty connectors,NFC Modules,,XH-W3001 DC 12V 120W Digital Display LED Temperature Controller,,microcontroller,,LattePanda,Pet finders,Wi-Fi Adapters,fan,,XMPP protocol,Environmental Data Loggers,
M8 Connector Cables,Process Control Systems,Explosion-proof,ST25R3911B,,ZFX-13001 12V DC High Precision Capacitive Humidity Controller,,optoisolator,,NVIDIA Jetson Xavier NX,Smart baby monitor,Bluetooth Adapters,LCD,,Modbus protocol,Battery Storage Systems,
Connector Cables,Networked Control Systems,Vibration-resistant connectors,SIM800,,ASAIR Temperature & Humidity Sensor,,relay,,Arduino MKR1000 ,Smart Home Devices,Fiber Optic Network Adapters,e-paper,,TLS protocol,,
RJ45 Cables,Temperature Controllers,Power Connectors,RC522,,XH-W3001 24V 240W Digital Thermostat Switch,,inductor,,Arduino MKR GSM 1400,Smartphones,,OLED,,,,
Cable Conduits,Pressure Controllers,Ethernet Connectors,SIM900,,DHT22 Temperature Sensor,,Potentiometers,,Arduino MKR WAN 1310,Tablets,,servo motor actuator,,,,
Cable Trays,Level Controllers,PCB Connectors,LTE Cat M1/NB-IoT Modules,,100K Ohm NTC 3950 Thermistor,,Crystals,,Adafruit Metro M4 Express ,Smart Appliances,,valve actuators,,,,
Cable Ties,Flow Controllers,SMA Connectors,NRF905,,Acrylic Case for XH-W1209 Temperature Controller,,PCBs,,SparkFun RedBoard,IoT Health Devices,,pneumatic actuator,,,,
Cable Clips,Electrical Control Panels,DB9 Connectors,RFM12B,,MH13001 10A 220V Mini Digital Air Humidity Control Controller,,Fuses,,SparkFun Thing Plus,Smart Home Hubs,,door actuators,,,,
Antenna Cables,Remote Terminal Units (RTUs),4G LTE HAT,SX1231,,DIY Peltier Cooling System Kit with TEC 12706 Peltier,,Voltage Regulators,,ESP32-CAM ,central control systems,,Smart Medication Dispensers,,,,
RF Cables,Data Acquisition Systems,USB Type-A,NEO-6M,,TEC1 12706 Peltier Module,,Rectifiers,,AI Thinker ESP32-CAM,Smart Light Switches,,Automated Irrigation Controllers,,,,
Patch Cables,Control and Monitoring Systems for Automation,USB Type-B,MTK3339,,XM-18 Mini Digital Automatic Egg Incubator,,Antennas,,Wemos D1 Mini,Solar Panels,,Smart Door Locks,,,,
Ethernet Patch Cables,Batch Control Systems,USB Type-C,u-blox NEO-M8,,TEC1-12715 Peltier Module,,,,LilyPad Arduino ,,,Smart Speakers,,,,
Fiber Optic Patch Cables,Asset Management Systems,Ethernet RJ45,TSOP38238,,Thermoelectric Peltier Refrigeration Cooling System DIY Kit,,,,Makey Makey,,,Smart Mirrors,,,,
USB Extension Cables,Control Room Consoles,Telephone RJ11,Vishay TSOP4840,,10K Temperature Sensor (Thermistor),,,,PYNQ-Z1 ,,,Driver Assistance Technologies,,,,
Power Extension Cables,Fault Detection and Diagnosis Systems,RJ11 Connectors,Sharp GP2Y0A21YK0,,12V STC-3028 Dual Digital Thermostat Temperature Humidity Control,,,,Arduino Portenta H7 ,,,Smart Bulbs,,,,
Shielded Sensor Cables,Real-Time Control Systems,HDMI Connectors,MFRC522,,LM35 Temperature Sensor,,,,NXP i.MX 8M Mini,,,Smart Locks,,,,
Shielded Ethernet Cables,Feedback Control Systems,Mini HDMI,RDM6300,,Mini Digital Thermometer Humidity Hygrometer,,,,Nordic nRF52840-DK,,,Smart Blinds,,,,
HVAC Cables,Feedforward Control Systems,Standard HDMI,Sub-1 GHz RF Transceivers,,10A 220V Mini Digital Air Humidity Controller,,,,NodeMCU development board,,,Motorized Valves,,,,
Industrial High-Voltage Cables,Safety Instrumented Systems (SIS),Micro-USB Connectors,Wi-Fi Routers,,LM35 Sensor Module,,,,Raspberry Pi Pico,,,Smart Thermostats,,,,
Automotive Sensor Cables,Energy Management Systems (EMS),DIN Connectors,Bluetooth Beacons,,Humidity Sensor,,,,,,,Motorized Blinds,,,,
Medical Device Cables,Environmental Control Systems,5-Pin DIN,Z-Wave Modules,,Pressure Sensor,,,,,,,Smart Plugs,,,,
Weatherproof Cables,Process Safety Management Systems,8-Pin DIN,Sigfox Modules,,Proximity Sensor,,,,,,,Automated Valves,,,,
Temperature-Resistant Cables,Remote Control Systems,M12 Connectors,Satellite Communication Modules,,Motion Sensor,,,,,,,Smart Appliances,,,,
Cat5e Ethernet Cables,Smart Grid Control Systems,M12 X-Coded,Wi-Fi Range Extenders,,Soil Moisture Sensor,,,,,,,Robotic Vacuum Cleaners,,,,
Cat6 Ethernet Cables,Advanced Process Control Systems (APC),M12 A-Coded,Mesh Network Nodes,,Ultrasonic Sensor,,,,,,,Electric Window Openers,,,,
Cat6a Ethernet Cables,Automation Controllers,BNC Connectors,RFID (Radio Frequency Identification) Modules,,Heart Rate Sensor,,,,,,,Sprinkler Systems,,,,
Cat7 Ethernet Cables,Human-Machine Interface (HMI) Systems,BNC Coaxial,Inertial Measurement Units (IMUs) with Wireless Connectivity,,Accelerometer Sensor,,,,,,,Actuated HVAC Dampers,,,,
Micro-USB Cables,Control Software Platforms,JST Connectors,Wireless Audio Transmitters,,Gyroscope Sensor,,,,,,,Motorized Garage Doors,,,,
HDMI Cables,Command and Control Systems,JST PH,Wireless Video Transmitters,,Water Quality Sensor,,,,,,,Smart Heating Mats,,,,
Camera Ribbon Cables,Control System Integration Platforms,JST XH,Wireless Sensor Nodes,,RFID Sensor,,,,,,,Automated Pet Feeders,,,,
Power Cables,Control System Simulation Tools,Flexible Printed Circuit,Wireless Charging Pads,,Sound Sensor,,,,,,,Smart Fans,,,,
,PLC Modules,Flexible Flat Cable,Wireless Network Interface Cards (NICs),,Carbon Dioxide Sensor,,,,,,,Home Automation Controllers,,,,
,HVAC Control Systems,RF Connectors,Wireless Gateways,,CO Sensor,,,,,,,Shutter Systems,,,,
,Remote Patient Monitoring Systems,SMA Connectors,Wireless Access Points,,Air quality sensors,,,,,,,Smart Energy Management Systems,,,,
,,U.FL Connectors,Wireless Microcontrollers,,Cameras,,,,,,,Electronic Door Strikes,,,,
,,Screw Terminal Blocks,Cellular Modems,,Fire Sensor,,,,,,,Smart Greenhouse Controllers,,,,
,,Power Connectors,Wireless Relays,,Smoke Sensor,,,,,,,Automated Heating Mats,,,,
,,Barrel Connectors,Wireless IoT Gateways,,Chemical sensors,,,,,,,Motorized Ventilation Systems,,,,
,,DC Power Jack,Wireless Data Loggers,,Electric current sensors,,,,,,,Automated Traffic Signals,,,,
,,Micro-MaTch Connectors,Wireless Environmental Monitors,,Gyroscopes,,,,,,,Smart Parking Systems,,,,
,,Locking Mechanism,Wireless Asset Trackers,,Humidity sensors,,,,,,,Electromechanical Actuators,,,,
,,GPIO Header Connectors,,,Level sensors,,,,,,,Relays,,,,
,,Traffic Management Systems,,,hydraulic actuators,,,,,,,Linear Actuators,,,,
,,Digital Price Tags,,,soil moisture sensors,,,,,,,Robotic Arms,,,,
,,,,,Gas Leak Detector,,,,,,,Solar Inverters,,,,
,,,,,Smoke Detector,,,,,,,Automated Irrigation Systems,,,,
,,,,,PIR Motion Sensor,,,,,,,Smart Shelves,,,,
,,,,,Light Dependent Resistor (LDR),,,,,,,Smart Traffic Lights,,,,
,,,,,Magnetometer,,,,,,,Conveyor Belt Actuators,,,,
,,,,,Touch Sensor,,,,,,,Water Pumps,,,,
,,,,,Water Flow Sensor,,,,,,,Traffic Light Controllers,,,,
,,,,,Heartbeat Sensor,,,,,,,,,,,
,,,,,Rotary Encoder,,,,,,,,,,,
,,,,,Tachometer,,,,,,,,,,,
,,,,,Ultrasonic Sensors,,,,,,,,,,,
,,,,,Color Sensors,,,,,,,,,,,
,,,,,O2 Sensors,,,,,,,,,,,
,,,,,AC Current Sensors,,,,,,,,,,,
,,,,,RPM Sensors,,,,,,,,,,,
,,,,,Water Temp Sensors,,,,,,,,,,,
,,,,,Water Detection Sensors,,,,,,,,,,,
,,,,,Water Sensor Alarm,,,,,,,,,,,
,,,,,Water Pressure Sensors,,,,,,,,,,,
,,,,,ABS Speed Sensors,,,,,,,,,,,
,,,,,ABS Wheel Speed Sensors,,,,,,,,,,,
,,,,,Hall Effect Sensors,,,,,,,,,,,
,,,,,Wearable Sensors,,,,,,,,,,,
,,,,,Driveway Sensors,,,,,,,,,,,
,,,,,Inductive Sensors,,,,,,,,,,,
,,,,,Environmental Sensors,,,,,,,,,,,
,,,,,Camera Sensors,,,,,,,,,,,
,,,,,Vibrometer Sensor,,,,,,,,,,,
,,,,,Lidar Sensors,,,,,,,,,,,
,,,,,Barometric Sensors,,,,,,,,,,,
,,,,,Angle Sensors,,,,,,,,,,,
,,,,,Capacitive Sensors,,,,,,,,,,,
,,,,,Catalytic Converter Sensors,,,,,,,,,,,
,,,,,Knock Sensors,,,,,,,,,,,
,,,,,Optical Sensors,,,,,,,,,,,
,,,,,Precision Sensors,,,,,,,,,,,
,,,,,Engine Sensors,,,,,,,,,,,
,,,,,Weight Sensors,,,,,,,,,,,
,,,,,Accelerator Pedal Sensors,,,,,,,,,,,
,,,,,Magnetic Sensors,,,,,,,,,,,
,,,,,Wireless Sensors,,,,,,,,,,,
,,,,,Laser Sensors,,,,,,,,,,,
,,,,,Remote Thermostat Sensors,,,,,,,,,,,
,,,,,Thermal Sensors,,,,,,,,,,,
,,,,,Elderly Monitoring Sensors,,,,,,,,,,,
,,,,,Reversing Sensors,,,,,,,,,,,
,,,,,Photoelectric Sensors,,,,,,,,,,,
,,,,,Wind Speed Sensors,,,,,,,,,,,
,,,,,Flood Sensors,,,,,,,,,,,
,,,,,Sonar Sensors,,,,,,,,,,,
,,,,,Ultrasonic Proximity Sensors,,,,,,,,,,,
,,,,,Heat Sensors,,,,,,,,,,,
,,,,,Remote Sensors,,,,,,,,,,,
,,,,,Radar Sensors,,,,,,,,,,,
,,,,,RV Tank Sensors,,,,,,,,,,,
,,,,,Backup Sensors,,,,,,,,,,,
,,,,,Parking Sensors System,,,,,,,,,,,
,,,,,LM35 temperature sensors,,,,,,,,,,,
,,,,,Bluetooth temperature sensors,,,,,,,,,,,
,,,,,USB temperature sensors,,,,,,,,,,,
,,,,,Digital temp sensors,,,,,,,,,,,
,,,,,Nest sensors,,,,,,,,,,,
,,,,,Nest temperature sensor,,,,,,,,,,,
,,,,,Nest thermostat sensors,,,,,,,,,,,
,,,,,Battery temperature sensors,,,,,,,,,,,
,,,,,Nest room sensors,,,,,,,,,,,
,,,,,Accelerometer Sensors,,,,,,,,,,,
,,,,,Gyrometer Sensors,,,,,,,,,,,
,,,,,Chemical field-effect transistor,,,,,,,,,,,
,,,,,Chemiresistor,,,,,,,,,,,
,,,,,Electrochemical gas sensor,,,,,,,,,,,
,,,,,Fluorescent chloride sensors,,,,,,,,,,,
,,,,,Hydrogen sulfide sensor,,,,,,,,,,,
,,,,,Nondispersive infrared sensor,,,,,,,,,,,
,,,,,pH glass electrode,,,,,,,,,,,
,,,,,Potentiometric sensor,,,,,,,,,,,
,,,,,Zinc oxide nanorod sensor,,,,,,,,,,,
,,,,,Breathalyzer,,,,,,,,,,,
,,,,,Carbon monoxide detector,,,,,,,,,,,
,,,,,Catalytic bead sensor,,,,,,,,,,,
,,,,,Hydrogen sensor,,,,,,,,,,,
,,,,,Air pollution sensor,,,,,,,,,,,
,,,,,Nitrogen oxide sensor,,,,,,,,,,,
,,,,,Oxygen sensor,,,,,,,,,,,
,,,,,Ozone monitor,,,,,,,,,,,
,,,,,Gas detector,,,,,,,,,,,
,,,,,Hygrometer,,,,,,,,,,,
,,,,,Gyroscope sensors,,,,,,,,,,,
,,,,,NPK Sensors,,,,,,,,,,,
,,,,,CO2 Sensor,,,,,,,,,,,
,,,,,DHT11 Temperature,,,,,,,,,,,
,,,,,BMP280 Pressure ,,,,,,,,,,,
,,,,,BME280 Temperature,,,,,,,,,,,
,,,,,Ultrasonic Distance Sensor,,,,,,,,,,,
,,,,,DHT11,,,,,,,,,,,
,,,,,SHT31,,,,,,,,,,,
,,,,,DHT22,,,,,,,,,,,
,,,,,VOC sensor,,,,,,,,,,,
,,,,,PM2.5 sensor,,,,,,,,,,,
,,,,,pH sensor ,,,,,,,,,,,
,,,,,conductivity sensor,,,,,,,,,,,
,,,,,turbidity sensor,,,,,,,,,,,
,,,,,infrared sensor,,,,,,,,,,,
,,,,,LiDAR sensor,,,,,,,,,,,
,,,,,moisture sensor,,,,,,,,,,,
,,,,,Semiconductor Sensors,,,,,,,,,,,
,,,,,Electrochemical Sensors,,,,,,,,,,,
,,,,,Radiation Sensors,,,,,,,,,,,
,,,,,Leaf Wetness Sensors,,,,,,,,,,,
,,,,,Water Temperature Sensors,,,,,,,,,,,
,,,,,Soil pH Sensors,,,,,,,,,,,
,,,,,Wind Chill Sensors,,,,,,,,,,,
,,,,,Dew Point Sensors,,,,,,,,,,,
,,,,,Hydrostatic Pressure Sensors,,,,,,,,,,,
,,,,,Streamflow Sensors,,,,,,,,,,,
,,,,,Evapotranspiration Sensors,,,,,,,,,,,
,,,,,Biological Oxygen Demand (BOD) Sensors,,,,,,,,,,,
,,,,,Chemical Oxygen Demand (COD) Sensors,,,,,,,,,,,
,,,,,Conductivity Sensors,,,,,,,,,,,
,,,,,Soil Nutrient Sensors,,,,,,,,,,,
,,,,,Stormwater Sensors,,,,,,,,,,,
,,,,,Thermocouples,,,,,,,,,,,
,,,,,Heat Flow Sensors,,,,,,,,,,,
,,,,,Air Velocity Sensors,,,,,,,,,,,
,,,,,Water Level Sensors,,,,,,,,,,,
,,,,,Soil Compaction Sensors,,,,,,,,,,,
,,,,,Heart Rate Monitors,,,,,,,,,,,
,,,,,Tilt Sensors,,,,,,,,,,,
,,,,,High Sensitivity Vibration Sensors,,,,,,,,,,,
,,,,,Heart Rate Sensors,,,,,,,,,,,
,,,,,Water Quality Sensors,,,,,,,,,,,
,,,,,Photovoltaic Sensors,,,,,,,,,,,
,,,,,Bio-sensors,,,,,,,,,,,
,,,,,glucose sensors,,,,,,,,,,,
,,,,,breathalyzers,,,,,,,,,,,
,,,,,Carbon Dioxide Sensors,,,,,,,,,,,
,,,,,Ozone Monitors,,,,,,,,,,,
,,,,,Nitrogen Oxide Sensors,,,,,,,,,,,
,,,,,PM2.5 Sensors,,,,,,,,,,,
,,,,,Backpressure Sensors,,,,,,,,,,,
,,,,,Tachometers,,,,,,,,,,,
,,,,,Electrical Current Sensors,,,,,,,,,,,
,,,,,Gas Leak Detectors,,,,,,,,,,,
,,,,,Smoke Detectors,,,,,,,,,,,
,,,,,Fire Sensors,,,,,,,,,,,
,,,,,Water Flow Sensors,,,,,,,,,,,
,,,,,Energy Monitoring System,,,,,,,,,,,
,,,,,GPS Tracking Devices,,,,,,,,,,,
,,,,,Patient Monitors,,,,,,,,,,,
,,,,,Wearable Health Trackers,,,,,,,,,,,
,,,,,Noise Monitoring Devices,,,,,,,,,,,
,,,,,Foot Traffic Sensors,,,,,,,,,,,
,,,,,Vehicle Health Monitors,,,,,,,,,,,
,,,,,energy meters,,,,,,,,,,,
,,,,,Door Sensors,,,,,,,,,,,
,,,,,GPS Trackers,,,,,,,,,,,
,,,,,RFID Systems,,,,,,,,,,,
,,,,,Smart Energy Meters,,,,,,,,,,,
,,,,,Voltage Sensors,,,,,,,,,,,
,,,,,Environmental Monitoring Stations,,,,,,,,,,,
,,,,,Traffic Flow Sensors,,,,,,,,,,,